Flow,D1,D2,P1,P2,dD1,dD2,dP1,dP2
-14.74,2699.12,-205,504.61,-22.46,161.59,5.36,25.22,1.31
-14.57,2730.34,-188.93,508.75,-19.33,104.79,8.17,16.37,1.67
-14.57,2652.8,-180.83,498.27,-18.52,47.74,10.93,8.02,1.9
-15.46,2216.38,-146.54,435.54,-13.87,-78.1,17.88,-10.08,2.76
-15.71,1606,-84.52,340.98,-6.21,-256.04,30.83,-36.95,4.24
-15.09,1102.47,-3.98,256.71,4.44,-417.63,49.27,-63.24,6.45
-14.97,777.85,64.2,200.04,13.71,-475.29,66.09,-74.87,8.76
-15,549.34,135.37,158.17,24.11,-406.41,74.26,-67.11,10.09
-15.17,348.78,202.04,118.9,33.32,-297.87,74.4,-51.97,10.39
-15.09,170.93,263.59,84.79,40.96,-221.04,70.56,-40.32,9.8
-14.97,-50.72,306.24,39.37,45.55,-195.99,64.59,-37.41,8.59
-14.2,-268.64,334.49,-6.26,47.32,-196.59,53.71,-38.9,6.41
-13.89,-437.42,374.92,-42.05,50.65,-194.88,45.27,-39.48,4.66
-13.71,-582.17,421.91,-74.21,56.06,-183.66,42.33,-38.28,4.12
-13.26,-676.45,485.13,-94.6,64.04,-151.56,48.56,-32.1,5.19
-12.63,-717.79,544.36,-102.61,72.7,-109.45,57.28,-23.21,7.06
-12.14,-739.44,601.29,-106.4,80.7,-70.28,62.03,-14.55,8.35
-11.26,-725.31,644.95,-101.46,86.73,-31.72,60.91,-5.61,8.49
-9.03,-706.68,684.84,-95.48,92.81,-3.95,54.78,0.86,7.86
-3.46,-735.75,715.64,-101.88,97.79,2.22,47.41,2.07,6.93
9.89,-803.24,748.96,-118.66,101.87,-11.61,41.36,-1.75,6.03
17.91,-868.88,763.28,-135.4,103.67,-36.62,34.76,-8.49,4.97
20.83,-863.44,774.14,-135.1,105.71,-43.44,27.25,-10.79,3.83
21.89,-738.83,731.71,-104.57,101.35,-5.84,10.31,-1.82,1.75
21.89,-637.98,677.14,-81.61,95.52,46.58,-13.02,10.78,-0.86
21.6,-575.6,624.44,-67.69,89.95,81.53,-33.1,19.12,-3.14
21.26,-542.55,574.95,-60.77,83.54,80.54,-46.4,18.71,-4.97
21.26,-518.78,525.76,-55.53,77.43,53.15,-47.46,11.94,-5.41
21.2,-441.21,460.05,-38.96,69.01,44.2,-49.57,9.69,-6.01
21.03,-391.3,414.82,-29.48,63.45,45.94,-49.92,9.71,-6.25
21.03,-372.53,390.41,-26.94,60.81,45.74,-44.7,9.26,-5.46
20.94,-379.04,358.28,-30.14,56.45,33.97,-37.29,6.2,-4.55
20.4,-441.51,336.98,-45.84,53.45,0.39,-27.19,-1.52,-3.36
19.97,-537.61,318.86,-69.56,50.86,-37.1,-21.53,-10.03,-2.81
19.23,-627.74,272.72,-92.18,44.19,-68.04,-24.59,-17.17,-3.46
18.63,-684.21,236.11,-106.83,38.26,-80.82,-28.14,-20.17,-4.16
17.34,-744.22,180.91,-123.49,30.01,-76.14,-37.05,-19.42,-5.58
16.06,-859.03,139.24,-154.49,23.83,-76.59,-43.01,-20.22,-6.51
14.86,-968.88,82.05,-183.97,15.33,-86.29,-46.11,-23.23,-6.96
13.94,-1033.44,24.3,-201.33,7.3,-93.09,-50.91,-25.12,-7.46
13.06,-1051.01,-23.53,-207.13,0.25,-79.9,-51.36,-21.67,-7.45
11.69,-1055.76,-64.69,-209.75,-5.95,-49.01,-50.6,-13.72,-7.35
11.2,-1069.1,-84.94,-214.74,-9.62,-24.11,-41.78,-7.46,-6.24
10.26,-1091.05,-97.86,-221.13,-11.74,-15.66,-30.22,-5.31,-4.75
9.63,-1122.33,-110.3,-229.8,-13.68,-20.76,-20.43,-6.41,-3.34
9.03,-1179.96,-112.79,-245.62,-14.66,-33.82,-12,-9.58,-2.14
8.54,-1248.06,-121.47,-264.05,-16.14,-48.97,-8.72,-13.36,-1.6
8.06,-1300.03,-140.34,-278.64,-19.08,-59.32,-9.62,-16.13,-1.74
7.66,-1331.27,-155.48,-287.75,-21.41,-59.59,-11.89,-16.28,-2.02
6.37,-1356.96,-176.69,-296.05,-25.27,-50.69,-16.39,-14.08,-2.7
5.43,-1424.47,-199.59,-316.4,-28.97,-49.5,-19.6,-14.14,-3.26
3.6,-1552.84,-221.54,-355.77,-33.62,-70.21,-21.17,-20.55,-3.77
1.57,-1636.55,-243.85,-382.57,-37.42,-92.77,-22.88,-27.52,-4.18
-2.17,-1637.5,-265.28,-384.49,-40.86,-91.01,-23.09,-27.17,-4.14
-4.97,-1594.65,-269.48,-373.12,-40.91,-57.39,-19.5,-17.29,-3.32
-6.49,-1548.75,-276.13,-360.91,-41.77,-10.68,-14.82,-3.27,-2.22
-7.43,-1483.13,-280.47,-342.78,-42.38,23.51,-9.92,7.09,-1.35
-8.14,-1408.2,-281.72,-321.97,-41.94,41.04,-6.04,12.34,-0.65
-8.8,-1326.03,-281.91,-298.65,-41.77,52.35,-4.8,15.69,-0.49
-9.51,-1237.12,-280,-273.32,-41.39,63.63,-2.75,18.99,-0.18
-10.23,-1140.08,-278.58,-246.28,-41.13,72.68,-1.34,21.45,-0.02
-10.43,-1033.97,-274.15,-217.2,-39.81,81.92,-0.15,23.74,0.15
-10.4,-904.71,-267.45,-182.39,-37.98,94.55,1.36,26.68,0.57
-10.43,-775.63,-261.57,-147.95,-36.84,107.08,2.63,29.53,0.88
-10.74,-657.52,-275.51,-117.46,-38.96,114.57,-0.23,30.96,0.39
